categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;Column1;_1
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;20/08/2021;00:03;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;POSTE DE CABLEADO CON RIESGO DE CAÍDA;REPARACIÓN DE POSTE DE CABLEADO CON RIESGO DE CAÍDA;Denuncia;24/08/2021;00:03;12:00:00 AM;12;VILLA URQUIZA;ANDONAEGUI;2720;-34.57373081;-58.49199089;GCS Web;Masculino;Abierto;;;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;21/08/2021;00:03;12:00:00 AM;14;PALERMO;HONDURAS;5860;-34.5821255;-58.43898693;Boti;Femenino;Abierto;;;;
CONTROL EDILICIO; OBRAS Y CATASTRO;CONTROL DE OBRAS;CONSTRUCCIÓN SIN PERMISO O SIN CARTEL REGLAMENTARIO CON CÓDIGO QR;Denuncia;23/08/2021;00:04;12:00:00 AM;12;VILLA PUEYRREDON;LOPEZ; CARLOS ANTONIO;2912;-34.58555748;-58.50313851;App BA 147;Femenino;Cerrado;27/08/2021;0:00:00;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;20/08/2021;00:04;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
LIMPIEZA Y RECOLECCIÓN;CESTOS Y CONTENEDORES;REUBICACIÓN DE CONTENEDOR;Solicitud;21/08/2021;00:04;12:00:00 AM;14;PALERMO;CABRERA; JOSE A.;4871;-34.59090283;-58.43084853;App BA 147;Femenino;Cerrado;23/08/2021;0:00:00;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;23/08/2021;00:04;12:00:00 AM;3;SAN CRISTOBAL;SAAVEDRA;1243;-34.62419725;-58.40124437;Boti;Masculino;Abierto;;;;
ARBOLADO Y ESPACIOS VERDES;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO;Solicitud;20/08/2021;00:04;12:00:00 AM;9;LINIERS;MONTIEL;1170;-34.65194004;-58.52483273;App BA 147;Masculino;Abierto;;;;
ARBOLADO Y ESPACIOS VERDES;PROBLEMA CON INTERVENCIONES DE ARBOLADO;PROBLEMAS CON INTERVENCIONES DE ARBOLADO;Queja;18/08/2021;00:04;12:00:00 AM;9;MATADEROS;TANDIL;6520;-34.66157524;-58.50186355;GCS Web;Femenino;Abierto;;;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;20/08/2021;00:04;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS);Servicio;23/08/2021;00:04;12:00:00 AM;12;COGHLAN;SUPERI;3347;-34.5565342;-58.47610144;App BA 147;Femenino;Cerrado;26/08/2021;0:00:00;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;20/08/2021;00:04;12:00:00 AM;13;NUÑEZ;CIUDAD DE LA PAZ;3356;-34.55177402;-58.46767717;GCS Web;Femenino;Abierto;;;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;20/08/2021;00:05;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
ARBOLADO Y ESPACIOS VERDES;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO;Solicitud;20/08/2021;00:05;12:00:00 AM;9;LINIERS;MONTIEL;1156;-34.65182894;-58.52497947;App BA 147;Masculino;Abierto;;;;
