categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;Column1;_1
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;RECOLECCIÓN DE RESIDUOS FUERA DEL CONTENEDOR;Solicitud;16/6/2021;12:08:55 AM;00:00;12;VILLA URQUIZA;RUFINO;3042;-345.703.559.931.726;-584.924.784.401.457;App BA 147;Femenino;Cerrado;16/6/2021;7:34:51 PM;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;15/6/2021;12:05:38 AM;00:00;14;PALERMO;DEL LIBERTADOR AV.;4980;-345.639.513.600.868;-584.363.744.919.738;App BA 147;Masculino;Cerrado;16/6/2021;10:43:30 AM;;
TRÁNSITO;VEHÍCULOS ABANDONADOS;REMOCIÓN DE VEHÍCULO / AUTO ABANDONADO;Solicitud;16/6/2021;11:51:41 PM;00:00;15;PATERNAL;ALVAREZ JONTE;1985;-346.036.091.613.891;-584.714.162.057.102;Comuna;Femenino;Abierto;;;;
ALUMBRADO;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;Solicitud;16/6/2021;11:46:33 PM;00:00;6;CABALLITO;ESPINOSA;541;-346.164.585.136.071;-584.487.800.678.477;App BA 147;Masculino;Cerrado;20/6/2021;4:55:45 PM;;
ARBOLADO Y ESPACIOS VERDES;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO;Solicitud;16/6/2021;11:59:31 PM;00:00;15;VILLA ORTUZAR;LUGONES;1498;-345.798.181.930.915;-584.737.238.737.792;App BA 147;Femenino;Abierto;;;;
TRÁMITES Y SERVICIOS;INCONVENIENTES CON TRÁMITES;INCONVENIENTES CON TRÁMITES;Queja;16/6/2021;11:58:07 PM;00:00;12;VILLA URQUIZA;HOLMBERG;3333;-345.615.914.264.996;-584.829.576.402.622;GCS Web;Masculino;Abierto;;;;
TRÁNSITO;VEHÍCULOS ABANDONADOS;REMOCIÓN DE VEHÍCULO / AUTO ABANDONADO;Solicitud;17/6/2021;12:01:29 AM;00:00;6;CABALLITO;PUAN;108;-346.246.886.771.687;-584.481.120.409.626;App BA 147;Masculino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;CESTOS Y CONTENEDORES;REUBICACIÓN DE CONTENEDOR;Solicitud;17/6/2021;11:50:16 PM;00:00;14;PALERMO;ARAOZ;1353;-345.932.297.950.961;-58.426.647.534.839;App BA 147;Femenino;Cerrado;18/6/2021;10:31:53 AM;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;17/6/2021;11:52:56 PM;00:00;7;FLORES;"ORTIZ; CARLOS";924;-346.381.707.296.822;-584.548.787.125.844;App BA 147;Femenino;Cerrado;20/6/2021;12:42:16 PM;;
RECICLADO Y PROTECCIÓN AMBIENTAL;"RUIDOS MOLESTOS; EMANACIONES O DERRAMES";RUIDOS MOLESTOS Y VIBRACIONES;Denuncia;17/6/2021;11:55:50 PM;00:00;15;VILLA CRESPO;CAMARGO;914;-345.970.712.083.262;-584.439.564.627.557;GCS Web;Masculino;Cerrado;29/6/2021;12:34:03 PM;;
ARBOLADO Y ESPACIOS VERDES;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO;Solicitud;15/6/2021;12:09:11 AM;00:00;6;CABALLITO;PLANES;833;-346.102.028.990.032;-58.444.471.642.669;GCS Web;Femenino;Cerrado;17/6/2021;3:23:25 PM;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;15/6/2021;11:53:25 PM;00:00;13;NUÑEZ;"RIVADAVIA MARTIN; COMODORO";1250;-345.382.717.632.959;-584.598.510.118.613;Boti;Masculino;Cerrado;17/6/2021;8:02:13 AM;;
ARBOLADO Y ESPACIOS VERDES;EXTRACCIÓN DE ÁRBOL;EXTRACCIÓN DE ÁRBOL;Solicitud;16/6/2021;12:07:45 AM;00:00;10;VELEZ SARSFIELD;"FLORES; VENANCIO; GRAL.";4557;-34.634.445.624.858;-584.907.466.415.659;GCS Web;Femenino;Abierto;;;;
RECICLADO Y PROTECCIÓN AMBIENTAL;EVALUACIÓN AMBIENTAL;CONSULTA TÉCNICA SOBRE TRÁMITE DE CERTIFICADO DE APTITUD AMBIENTAL - LAVADEROS - ANTENAS;Solicitud;16/6/2021;12:07:31 AM;00:00;15;VILLA CRESPO;CAMARGO;1260;-345.945.535.548.979;-584.467.543.643.118;GCS Web;Masculino;Cerrado;17/6/2021;11:22:55 AM;;
ARBOLADO Y ESPACIOS VERDES;PROBLEMA CON INTERVENCIONES DE ARBOLADO;PROBLEMAS CON INTERVENCIONES DE ARBOLADO;Queja;16/6/2021;12:09:59 AM;00:00;9;LINIERS;PATRON;7410;-346.542.487.942.594;-585.222.471.948.871;GCS Web;Masculino;Abierto;;;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;16/6/2021;11:50:13 PM;00:00;10;VELEZ SARSFIELD;CARRASCO AV.;;-346.284.172.121.477;-58.496.275.208.987;App Denuncia Vial;Masculino;Cerrado;17/6/2021;4:01:24 PM;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;17/6/2021;12:13:39 AM;00:00;9;PARQUE AVELLANEDA;ESCALADA AV.;1566;-346.515.622.220.981;-584.867.332.114.587;Boti;Femenino;Cerrado;17/6/2021;10:01:24 AM;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;16/6/2021;11:51:50 PM;00:00;10;VELEZ SARSFIELD;CARRASCO AV.;;-346.284.172.121.477;-58.496.275.208.987;App Denuncia Vial;Masculino;Cerrado;17/6/2021;4:01:24 PM;;
LIMPIEZA Y RECOLECCIÓN;CESTOS Y CONTENEDORES;REPARACIÓN DE CONTENEDOR;Solicitud;16/6/2021;11:47:03 PM;00:00;11;VILLA GRAL. MITRE;TRES ARROYOS;1959;-346.113.790.105.685;-584.652.667.139.325;App BA 147;Femenino;Cerrado;22/6/2021;12:29:35 PM;;
