categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;Column1;_1
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;19/6/2021;2:42:17 AM;02:30;2;RECOLETA;SANTA FE AV.;3089;-345.901.480.513.919;-584.086.402.526.646;App BA 147;Masculino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;20/6/2021;2:32:32 AM;02:30;2;RECOLETA;SANTA FE AV.;2933;-345.913.389.623.915;-58.407.341.122.108;App BA 147;Masculino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;20/6/2021;2:28:44 AM;02:30;2;RECOLETA;SANTA FE AV.;3039;-345.905.146.967.989;-584.082.072.543.706;App BA 147;Masculino;Abierto;;;;
SALUD Y SERVICIOS SOCIALES;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;Denuncia;20/6/2021;2:37:49 AM;02:30;6;CABALLITO;BEAUCHEF;465;-346.222.664.534.455;-584.335.952.954.751;Boti;Masculino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;20/6/2021;2:30:56 AM;02:30;2;RECOLETA;SANTA FE AV.;2921;-345.914.144.927.511;-584.072.658.517.446;App BA 147;Masculino;Abierto;;;;
CALLES Y VEREDAS;REPARACIÓN DE VEREDA;REPARACIÓN DE VEREDA POR RAÍCES DE ÁRBOL QUE PRODUCEN ROTURAS;Solicitud;20/6/2021;2:30:55 AM;02:30;10;MONTE CASTRO;"SASTRE; MARCOS";4575;-346.144.626.286.158;-585.068.388.734.932;App BA 147;Femenino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;21/6/2021;2:34:31 AM;02:30;2;RECOLETA;SANTA FE AV.;2532;-345.943.822.278.851;-584.028.750.832.971;App BA 147;Masculino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;21/6/2021;2:35:55 AM;02:30;2;RECOLETA;SANTA FE AV.;2548;-345.943.175.069.782;-584.031.087.591.686;App BA 147;Masculino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;21/6/2021;2:38:10 AM;02:30;2;RECOLETA;SANTA FE AV.;2536;-345.943.686.887.545;-584.029.239.667.497;App BA 147;Masculino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;21/6/2021;2:43:54 AM;02:30;2;RECOLETA;SANTA FE AV.;2807;-345.924.026.449.604;-584.061.571.242.285;App BA 147;Masculino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;21/6/2021;2:41:41 AM;02:30;2;RECOLETA;SANTA FE AV.;2881;-345.918.526.526.817;-584.067.995.883.939;App BA 147;Masculino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;21/6/2021;2:39:40 AM;02:30;2;RECOLETA;SANTA FE AV.;2540;-345.943.416.103.983;-584.030.217.335.964;App BA 147;Masculino;Abierto;;;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:18:49 AM;02:30;8;VILLA LUGANO;;;-346.747.887.091.587;-584.663.941.509.314;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:19:43 AM;02:30;8;VILLA LUGANO;;;-346.612.768.746.786;-584.700.664.180.378;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:34:43 AM;02:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:35:27 AM;02:30;7;FLORES;;;-346.491.969.617.196;-584.404.177.642.598;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:16:15 AM;02:30;7;FLORES;;;-346.491.969.617.196;-584.404.177.642.598;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:17:18 AM;02:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:22:53 AM;02:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;17/6/2021;2:23:45 AM;02:30;7;FLORES;;;-346.477.931.710.214;-58.435.064.752.249;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;17/6/2021;2:27:47 AM;02:30;9;PARQUE AVELLANEDA;;;-346.587.768.124.964;-584.732.193.200.386;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:36:38 AM;02:30;8;VILLA LUGANO;;;-346.711.522.305.402;-584.907.110.310.452;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:42:33 AM;02:30;7;FLORES;;;-346.491.969.617.196;-584.404.177.642.598;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:43:18 AM;02:30;8;VILLA LUGANO;;;-346.711.522.305.402;-584.907.110.310.452;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;17/6/2021;2:21:21 AM;02:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:22:04 AM;02:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;17/6/2021;2:28:34 AM;02:30;9;PARQUE AVELLANEDA;;;-346.587.768.124.964;-584.732.193.200.386;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:33:27 AM;02:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:40:05 AM;02:30;8;VILLA LUGANO;;;-346.711.522.305.402;-584.907.110.310.452;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;17/6/2021;2:44:18 AM;02:30;1;PUERTO MADERO;;;-346.187.782.638.872;-583.530.178.743.351;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;17/6/2021;2:25:26 AM;02:30;9;PARQUE AVELLANEDA;;;-346.587.768.124.964;-584.732.193.200.386;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:34:06 AM;02:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;17/6/2021;2:41:03 AM;02:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:41:51 AM;02:30;7;FLORES;;;-346.491.969.617.196;-584.404.177.642.598;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
ALUMBRADO;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;Solicitud;15/6/2021;3:01:45 AM;03:00;4;BARRACAS;VIEYTES;2000;-346.563.701.071.749;-583.741.622.945.112;GCS Web;Femenino;Cerrado;18/6/2021;10:57:49 AM;;
TRÁMITES Y SERVICIOS;INCONVENIENTES EN HOSPITAL PÚBLICO;INCONVENIENTES EN HOSPITAL PÚBLICO;Queja;16/6/2021;3:12:00 AM;03:00;15;PARQUE CHAS;;;-3.458.739.173.643;-584.711.173.696.397;App BA 147;Femenino;Abierto;;;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:52:40 AM;03:00;8;VILLA LUGANO;;;-346.711.522.305.402;-584.907.110.310.452;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;17/6/2021;2:45:07 AM;03:00;9;PARQUE AVELLANEDA;"RODO; JOSE E.";4672;-346.466.622.171.261;-584.899.042.288.445;App BA 147;Masculino;Cerrado;17/6/2021;4:01:27 PM;;
ALUMBRADO;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;Solicitud;17/6/2021;3:09:16 AM;03:00;1;SAN NICOLAS;25 DE MAYO;560;-346.012.719.206.251;-583.712.730.995.251;App BA 147;Masculino;Cerrado;18/6/2021;8:30:06 AM;;
ARBOLADO Y ESPACIOS VERDES;EXTRACCIÓN DE ÁRBOL;EXTRACCIÓN DE ÁRBOL;Solicitud;18/6/2021;2:52:13 AM;03:00;7;FLORES;"ALVAREZ; CRISOSTOMO";2871;-346.455.182.228.121;-584.574.287.169.119;GCS Web;Masculino;Abierto;;;;
ARBOLADO Y ESPACIOS VERDES;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO;Solicitud;17/6/2021;2:50:37 AM;03:00;11;VILLA DEVOTO;CHIVILCOY AV.;3041;-346.060.629.140.639;-585.060.353.375.843;GCS Web;Femenino;Cerrado;22/6/2021;2:55:45 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:54:12 AM;03:00;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:57:17 AM;03:00;8;VILLA SOLDATI;;;-346.595.173.803.184;-584.533.085.453.406;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:02:12 AM;03:00;7;FLORES;;;-346.456.504.927.597;-584.419.435.955.707;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:02:55 AM;03:00;7;FLORES;;;-346.491.969.617.196;-584.404.177.642.598;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;19/6/2021;3:08:15 AM;03:00;6;CABALLITO;VALLE;1432;-346.265.880.172.657;-584.479.482.681.763;App BA 147;Masculino;Cerrado;19/6/2021;9:00:39 AM;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;20/6/2021;3:05:12 AM;03:00;2;RECOLETA;SANTA FE AV.;2975;-345.910.891.598.258;-584.075.900.634.821;App BA 147;Masculino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;20/6/2021;3:07:57 AM;03:00;2;RECOLETA;SANTA FE AV.;2893;-345.917.146.590.023;-584.069.606.247.938;App BA 147;Masculino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;20/6/2021;3:03:41 AM;03:00;2;RECOLETA;SANTA FE AV.;2955;-34.591.189.909.987;-584.074.896.609.027;App BA 147;Masculino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;OCUPACIÓN INDEBIDA;LOCAL GASTRONÓMICO QUE OCUPA ESPACIO PÚBLICO CON MESAS Y SILLAS;Denuncia;20/6/2021;3:05:44 AM;03:00;3;BALVANERA;AYACUCHO;111;-346.079.504.596.748;-583.949.199.818.187;App BA 147;Masculino;Abierto;;;;
ORDENAMIENTO DEL ESPACIO PÚBLICO;PUBLICIDAD EN VÍA PÚBLICA;"TOLDOS; ANUNCIOS PUBLICITARIOS O MARQUESINAS EN MAL ESTADO";Denuncia;21/6/2021;2:46:09 AM;03:00;2;RECOLETA;SANTA FE AV.;2831;-345.922.543.384.863;-584.063.308.230.274;App BA 147;Masculino;Abierto;;;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;19/6/2021;2:58:03 AM;03:00;6;CABALLITO;VALLE;1428;-346.265.793.743.455;-584.479.229.155.426;App BA 147;Masculino;Cerrado;22/6/2021;8:03:00 AM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:47:32 AM;03:00;8;VILLA LUGANO;;;-346.745.534.125.418;-584.622.759.473.791;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:51:48 AM;03:00;8;VILLA LUGANO;;;-346.747.887.091.587;-584.663.941.509.314;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:45:09 AM;03:00;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:54:59 AM;03:00;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:01:27 AM;03:00;7;FLORES;;;-346.456.504.927.597;-584.419.435.955.707;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;17/6/2021;2:58:33 AM;03:00;7;FLORES;;;-346.491.969.617.196;-584.404.177.642.598;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:00:47 AM;03:00;7;FLORES;;;-346.456.504.927.597;-584.419.435.955.707;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:50:27 AM;03:00;8;VILLA LUGANO;;;-346.745.534.125.418;-584.622.759.473.791;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:53:33 AM;03:00;8;VILLA LUGANO;;;-346.711.522.305.402;-584.907.110.310.452;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;17/6/2021;2:56:27 AM;03:00;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:59:45 AM;03:00;8;VILLA LUGANO;;;-346.747.887.091.587;-584.663.941.509.314;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;2:46:16 AM;03:00;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:40 PM;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE RESTOS DE JARDINERÍA DOMICILIARIA;Servicio;16/6/2021;3:32:22 AM;03:30;11;VILLA DEVOTO;"CANTILO; JOSE LUIS";4741;-346.077.024.010.208;-585.186.814.999.308;App BA 147;Femenino;Cerrado;18/6/2021;8:44:37 PM;;
TRÁMITES Y SERVICIOS;INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES);INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES);Queja;17/6/2021;3:28:42 AM;03:30;;;;;;;GCS Web;Masculino;Abierto;;;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;18/6/2021;3:23:23 AM;03:30;12;SAAVEDRA;RUIZ HUIDOBRO;2408;-34.544.711.144.048;-584.718.345.906.096;App BA 147;Masculino;Cerrado;18/6/2021;4:01:15 PM;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;18/6/2021;3:31:04 AM;03:30;14;PALERMO;"DUMONT; SANTOS";2453;-345.738.853.774.657;-584.390.470.342.128;App BA 147;Masculino;Cerrado;22/6/2021;10:28:32 AM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:20:29 AM;03:30;8;VILLA LUGANO;;;-346.747.887.091.587;-584.663.941.509.314;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:32:14 AM;03:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
SALUD Y SERVICIOS SOCIALES;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;Denuncia;20/6/2021;3:22:37 AM;03:30;6;CABALLITO;BEAUCHEF;465;-346.222.664.534.455;-584.335.952.954.751;Boti;Masculino;Abierto;;;;
SALUD Y SERVICIOS SOCIALES;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;Denuncia;20/6/2021;3:38:56 AM;03:30;;;;;;;App BA 147;Femenino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;20/6/2021;3:25:54 AM;03:30;2;RECOLETA;PEÑA;2726;-345.876.735.412.405;-584.023.493.459.709;App BA 147;Femenino;Cerrado;22/6/2021;10:19:45 AM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:33:44 AM;03:30;8;VILLA SOLDATI;;;-346.566.244.291.334;-584.573.576.024.274;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:37:31 AM;03:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:38:16 AM;03:30;8;VILLA LUGANO;;;-346.747.887.091.587;-584.663.941.509.314;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:31:33 AM;03:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:40:42 AM;03:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;17/6/2021;3:43:55 AM;03:30;9;PARQUE AVELLANEDA;;;-346.587.768.124.964;-584.732.193.200.386;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:25:40 AM;03:30;8;VILLA LUGANO;;;-346.747.887.091.587;-584.663.941.509.314;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:29:46 AM;03:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:17:20 AM;03:30;7;FLORES;;;-346.491.969.617.196;-584.404.177.642.598;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:39:04 AM;03:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;17/6/2021;3:42:42 AM;03:30;7;FLORES;;;-346.491.969.617.196;-584.404.177.642.598;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:30:28 AM;03:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:34:37 AM;03:30;8;VILLA LUGANO;;;-346.612.768.746.786;-584.700.664.180.378;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:35:14 AM;03:30;8;VILLA SOLDATI;;;-346.595.173.803.184;-584.533.085.453.406;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESOBSTRUCCIÓN;DESOBSTRUCCIÓN (VACTOR);Solicitud;17/6/2021;3:35:55 AM;03:30;4;BARRACAS;;;-346.548.185.936.464;-583.984.812.816.138;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;17/6/2021;3:33:01 AM;03:30;15;PATERNAL;;;-345.983.575.388.091;-584.691.167.244.634;Operador UGIS;;Cerrado;5/7/2021;3:16:39 PM;;
