categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;tiempo_de_cierre;Column1
LIMPIEZA Y RECOLECCIÓN;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;3/1/2021;12:09:37 AM;00:00:00;12;VILLA PUEYRREDON;ARTIGAS; JOSE GERVASIO; GRAL.;5460;-34.57744103;-58.50320106;Boti;Masculino;Cerrado;06/01/2021;12:30:31 AM;3;
LIMPIEZA Y RECOLECCIÓN;HABILITACIONES Y PERMISOS;ACTIVIDAD DE BAILE EFECTUADA SIN PERMISO;DENUNCIA;5/1/2021;11:57:30 PM;00:00:00;5;ALMAGRO;BOEDO AV.;440;-34.61777603;-58.4167326;App BA 147;Femenino;Cerrado;14/01/2021;1:11:51 PM;9;
LIMPIEZA Y RECOLECCIÓN;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;4/1/2021;11:57:41 PM;00:00:00;3;BALVANERA;ECUADOR;999;-34.59819793;-58.40561697;App Denuncia Vial;Masculino;Cerrado;06/01/2021;10:32:55 AM;2;
LIMPIEZA Y RECOLECCIÓN;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;2/1/2021;12:03:43 AM;00:00:00;5;BOEDO;LINIERS VIRREY;860;-34.62154515;-58.41368574;App Denuncia Vial;Femenino;Cerrado;06/01/2021;8:30:48 AM;4;
LIMPIEZA Y RECOLECCIÓN;REPARACIÓN DE EQUIPAMIENTO DE ALUMBRADO;FELICITACIÓN / AGRADECIMIENTO;QUEJA;6/1/2021;11:50:31 PM;00:00:00;;;;;;;App BA 147;Masculino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE RESTOS DE JARDINERÍA DOMICILIARIA;SERVICIO;4/1/2021;11:47:01 PM;00:00:00;10;FLORESTA;CHIVILCOY;1539;-34.61963403;-58.49277997;App BA 147;Femenino;Cerrado;06/01/2021;12:02:01 PM;2;
MEDIOS DE TRANSPORTE;RUIDOS MOLESTOS; EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;6/1/2021;12:12:18 AM;00:00:00;5;ALMAGRO;BOEDO AV.;440;-34.61777603;-58.4167326;GCS Web;Femenino;Abierto;;;;
PLUVIALES;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;2/1/2021;11:47:55 PM;00:00:00;14;PALERMO;CABRERA; JOSE A.;5141;-34.58900535;-58.43348604;App Denuncia Vial;Masculino;Cerrado;06/01/2021;8:33:17 AM;4;
TRÁMITES Y SERVICIOS;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;5/1/2021;11:51:02 PM;00:00:00;12;VILLA URQUIZA;PACHECO;2888;-34.5695235;-58.48715075;App Denuncia Vial;Femenino;Cerrado;07/01/2021;8:31:09 AM;2;
TRÁMITES Y SERVICIOS;LIMPIEZA DE VÍA PÚBLICA;RETIRO DE ANIMALES MUERTOS EN VÍA PÚBLICA;SOLICITUD;5/1/2021;11:51:15 PM;00:00:00;6;CABALLITO;EL MAESTRO;184;-34.61835408;-58.43064238;App BA 147;Masculino;Cerrado;07/01/2021;1:04:05 PM;2;
TRÁMITES Y SERVICIOS;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;5/1/2021;11:56:13 PM;00:00:00;7;FLORES;CARACAS;;-34.62486612;-58.46277339;App Denuncia Vial;Masculino;Cerrado;07/01/2021;8:31:10 AM;2;
TRÁMITES Y SERVICIOS;SUBTES;VIOLACIÓN DE CUARENTENA POR CORONAVIRUS;DENUNCIA;7/1/2021;11:59:58 PM;00:00:00;;;;;;;GCS Web;Masculino;Abierto;;;;
TRÁNSITO;REPARACIÓN DE VEREDA;REPARACIÓN DE VEREDA;SOLICITUD;7/1/2021;12:06:10 AM;00:00:00;6;CABALLITO;PAYSANDU;1552;-34.60653625;-58.45707567;GCS Web;Masculino;Abierto;;;;
TRÁNSITO;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;7/1/2021;11:50:01 PM;00:00:00;1;SAN NICOLAS;SAN MARTIN;336;-34.60407479;-58.3738486;App BA 147;Masculino;Cerrado;08/01/2021;11:09:23 AM;1;
TRÁNSITO;MARCAS VIALES Y SEÑALES EN CALLE;REPARACIÓN DE VEREDA ROTA POR EMPRESA DE SERVICIO;SOLICITUD;7/1/2021;11:59:21 PM;00:00:00;14;PALERMO;SCALABRINI ORTIZ; RAUL AV.;1278;-34.59312994;-58.42846851;GCS Web;Masculino;Abierto;;;;
TRÁNSITO;RECUPERADOR URBANO Y CAMIONES DE RECICLADO;RECUPERADOR URBANO ACOPIANDO RESIDUOS EN ZONA NO PREVISTA;DENUNCIA;7/1/2021;12:05:39 AM;00:00:00;9;LINIERS;BACACAY AV.;5701;-34.63590812;-58.50759569;GCS Web;Femenino;Cerrado;13/01/2021;6:31:37 PM;6;
TRÁNSITO;OTROS;OCUPACIÓN INDEBIDA POR MANTERO O VENDEDOR AMBULANTE;REPORTE;7/1/2021;12:02:30 AM;00:00:00;1;RETIRO;ANTARTIDA ARGENTINA AV.;1101;-34.5883471;-58.37127961;App BA 147;Masculino;Cerrado;11/02/2021;5:00:14 PM;35;
TRÁNSITO;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;SOLICITUD;7/1/2021;11:45:05 PM;00:00:00;13;NUÑEZ;AMENABAR;3211;-34.55362655;-58.46737746;GCS Web;Femenino;Cerrado;13/01/2021;11:41:36 AM;6;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;7/1/2021;11:45:21 PM;00:00:00;14;PALERMO;SANTA FE AV.;5032;-34.57692821;-58.43089362;App Denuncia Vial;Masculino;Cerrado;08/01/2021;4:16:38 PM;1;
TRÁNSITO;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR; DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;7/1/2021;11:47:53 PM;00:00:00;10;VELEZ SARSFIELD;ESCALADA DE SAN MARTIN; R.;4302;-34.6261389;-58.49278086;GCS Web;Femenino;Abierto;;;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;7/1/2021;11:48:54 PM;00:00:00;13;BELGRANO;MENDOZA;3132;-34.56535902;-58.46464395;App BA 147;Masculino;Cerrado;08/01/2021;4:16:38 PM;1;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;7/1/2021;11:58:56 PM;00:00:00;14;PALERMO;CHENAUT; INDALESIO; GRAL. AV.;1711;-34.56981563;-58.43100157;Boti;Masculino;Cerrado;08/01/2021;4:16:39 PM;1;
TRÁNSITO;HABILITACIONES Y PERMISOS;ESTABLECIMIENTO SIN HABILITACIÓN;DENUNCIA;7/1/2021;11:54:05 PM;00:00:00;3;BALVANERA;JUJUY AV.;447;-34.61525558;-58.40483818;App BA 147;Femenino;Cerrado;15/01/2021;3:55:17 PM;8;
TRÁNSITO;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;6/1/2021;12:12:17 AM;00:00:00;9;MATADEROS;MOLINA;1784;-34.65797737;-58.51776699;App BA 147;Masculino;Cerrado;08/01/2021;12:05:29 PM;2;
TRÁNSITO;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;6/1/2021;11:55:31 PM;00:00:00;6;CABALLITO;PAYSANDU;1552;-34.60653625;-58.45707567;GCS Web;Masculino;Cerrado;08/01/2021;3:45:29 PM;2;
TRÁNSITO;CESTOS Y CONTENEDORES;VACIADO DE CESTO PAPELERO;QUEJA;7/1/2021;11:51:38 PM;00:00:00;10;FLORESTA;CHIVILCOY;1655;-34.61869474;-58.49396187;App BA 147;Femenino;Cerrado;09/01/2021;12:30:55 PM;2;
TRÁNSITO;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;7/1/2021;12:02:52 AM;00:00:00;9;PARQUE AVELLANEDA;HOMERO;1375;-34.65057612;-58.4854581;App BA 147;Femenino;Cerrado;09/01/2021;12:01:45 PM;2;
TRÁNSITO;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;7/1/2021;12:06:40 AM;00:00:00;10;VILLA REAL;ALICANTE;1933;-34.62291547;-58.52251534;GCS Web;Masculino;Cerrado;09/01/2021;12:01:48 PM;2;
TRÁNSITO;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;7/1/2021;12:02:19 AM;00:00:00;13;BELGRANO;CAMPOS; LUIS M. AV.;1586;-34.56216874;-58.4445777;GCS Web;Femenino;Cerrado;09/01/2021;10:01:50 AM;2;
;ACCESO A LA INFORMACIÓN PÚBLICA;ACCESO A LA INFORMACIÓN PÚBLICA;SOLICITUD;7/1/2021;11:48:47 PM;00:00:00;;;;;;;GCS Web;Femenino;Cerrado;14/01/2021;12:21:20 PM;7;
ARBOLADO Y ESPACIOS VERDES;INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES);INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES);QUEJA;2/1/2021;12:36:39 AM;00:30:00;;;;;;;GCS Web;Masculino;Abierto;;;;
ARBOLADO Y ESPACIOS VERDES;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;2/1/2021;12:38:38 AM;00:30:00;9;PARQUE AVELLANEDA;OLIVERA AV.;435;-34.64150494;-58.48583693;App Denuncia Vial;Masculino;Cerrado;06/01/2021;8:30:48 AM;4;
ARBOLADO Y ESPACIOS VERDES;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;2/1/2021;12:44:43 AM;00:30:00;9;PARQUE AVELLANEDA;OLIVERA AV.;489;-34.64241475;-58.4855595;App Denuncia Vial;Masculino;Cerrado;06/01/2021;8:30:50 AM;4;
ARBOLADO Y ESPACIOS VERDES;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;SOLICITUD;2/1/2021;12:15:49 AM;00:30:00;10;VELEZ SARSFIELD;GUALEGUAYCHU;203;-34.63203366;-58.48522084;GCS Web;Masculino;Cerrado;05/01/2021;12:54:22 PM;3;
BARRIOS EMERGENTES;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;2/1/2021;12:42:00 AM;00:30:00;15;VILLA CRESPO;ESTADO DE ISRAEL AV.;4457;-34.59861792;-58.4286519;App BA 147;Masculino;Cerrado;04/01/2021;9:28:00 PM;2;
BARRIOS EMERGENTES;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;2/1/2021;12:42:49 AM;00:30:00;9;PARQUE AVELLANEDA;OLIVERA AV.;447;-34.64173647;-58.48576633;App Denuncia Vial;Masculino;Cerrado;06/01/2021;8:30:50 AM;4;
BARRIOS EMERGENTES;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;2/1/2021;12:40:25 AM;00:30:00;9;PARQUE AVELLANEDA;OLIVERA AV.;439;-34.64161299;-58.48580398;App Denuncia Vial;Masculino;Cerrado;06/01/2021;8:30:49 AM;4;
CALLES Y VEREDAS;CESTOS Y CONTENEDORES;VACIADO DE CAMPANA VERDE;SOLICITUD;3/1/2021;12:31:06 AM;00:30:00;4;PARQUE PATRICIOS;LUCA; ESTEBAN DE;2237;-34.63571895;-58.40237607;App BA 147;Masculino;Cerrado;11/01/2021;7:59:39 AM;8;
